TOTAL EVALUATED: 1331
OVERALL PRIMARY PASSES: 920 / 1331
OVERALL CANDIDATE COVERAGE: 962 / 1331

CATEGORY 1 TOTAL: 42
L5: aghtihili -> agħtihieli | actual #1: agħtihili | choices: ['agħtihili', 'agħtihieli', 'agħtuhili', 'agħtiehieli', 'agħtihielie']
L15: ala -> għala | actual #1: ħala | choices: ['ħala', 'alla', 'għala', 'ħalla', 'għalla']
L18: alqet -> għalqet | actual #1: ħalqet | choices: ['ħalqet', 'għalqet', 'ħallqet', 'għallqet']
L21: amiltlu -> għamiltlu | actual #1: amilthlu | choices: ['amilthlu', 'għamiltlu']
L22: amlet -> għamlet | actual #1: ħamlet | choices: ['ħamlet', 'għamlet', 'ħammlet']
L36: ax -> għax | actual #1: ħax | choices: ['ħax', 'għax']
L63: baqa -> baqa' | actual #1: baqqa | choices: ['baqqa', "baqa'", 'baqgħa', "b'aqa'", "baqqa'"]
L80: bhalom -> bħalhom | actual #1: bhalhom | choices: ['bhalhom', 'bħalhom', 'bhalhhom']
L170: filodu -> filgħodu | actual #1: f'lodu | choices: ["f'lodu", 'filgħodu']
L209: ghadhu -> għadu | actual #1: għaddu | choices: ['għaddu', 'għadu', 'ħaddu', 'ħadu']
L212: ghadom -> għadhom | actual #1: ghadhom | choices: ['ghadhom', 'għadhom']
L266: ghandom -> għandhom | actual #1: ghandhom | choices: ['ghandhom', 'għandhom']
L297: ghidtlek -> għedtlek | actual #1: ghidtlhek | choices: ['ghidtlhek', 'għedtlek']
L298: ghidtlu -> għedtlu | actual #1: ghidthlu | choices: ['ghidthlu', 'għedtlu']
L320: gieh -> ġieħ | actual #1: ġieh | choices: ['ġieh', 'ġieħ', 'ġie']
L496: illami -> llami | actual #1: ilami | choices: ['ilami', 'llami']
L567: isma -> isma' | actual #1: ishma | choices: ['ishma', "isma'"]
L580: izar -> iżgħar | actual #1: iżhar | choices: ['iżhar', 'żar', 'iżgħar']
L675: jilghabu -> jilagħbu | actual #1: jilgħabu | choices: ['jilgħabu', 'jilagħbu']
L698: jitfahha -> jitfagħha | actual #1: jitfa'ha | choices: ["jitfa'ha", 'jitfagħha', "jietfa'ha", 'jietfagħha']
L757: laqa -> laqa' | actual #1: laħqa | choices: ['laħqa', "laqa'", 'lagħqa', 'laqgħa', "l'aqa'"]
L772: leja -> lejja | actual #1: lejha | choices: ['lejha', 'lejja', 'leħja', 'ħlejja', "l'għeja"]
L818: minom -> minnhom | actual #1: minhom | choices: ['minhom', "m'nom", 'minnhom']
L854: nghajjtu -> ngħajtu | actual #1: ngħajjtu | choices: ['ngħajjtu', 'ngħajtu', 'nħajtu']
L878: niccelebrawħ -> niċċelebrawh | actual #1: niċċelebraw | choices: ['niċċelebraw', 'niċċelebrawh']
L915: nitallmu -> nitgħallmu | actual #1: nitħallmu | choices: ['nitħallmu', 'nitgħallmu']
L934: noqghodu -> noqogħdu | actual #1: noqgħodu | choices: ['noqgħodu', "n'oqgħodu", 'noqogħdu']
L943: nużaħ -> nużah | actual #1: nuża | choices: ['nuża', 'nużah']
L1030: qrajta -> qrajtha | actual #1: qrajta | choices: ['qrajtha']
L1036: raba -> raba' | actual #1: rabba | choices: ['rabba', 'rahba', "raba'", 'ragħba', "rabba'"]
L1040: rajta -> rajtha | actual #1: rajta | choices: ['rajtha']
L1047: rcivejtom -> rċivejthom | actual #1: rcivejthom | choices: ['rcivejthom', 'rċivejthom', 'rcivejthhom']
L1070: semanix -> semagħnix | actual #1: sema'nix | choices: ["sema'nix", "sema'niex", 'semagħnix', 'semminix', 'semagħniex']
L1081: shah -> sħaħ | actual #1: sħah | choices: ['sħah', 'sħaħ', 'saħ', 'sa', 'saħħ']
L1126: tajta -> tajtha | actual #1: tajta | choices: ['tajtha']
L1129: tallimt -> tgħallimt | actual #1: tħallimt | choices: ['tħallimt', 'tgħallimt', "t'għallimt"]
L1191: tijek -> tiegħek | actual #1: t'jek | choices: ["t'jek", 'tiegħek']
L1192: tijew -> tiegħu | actual #1: t'jew | choices: ["t'jew", 'tiegħu']
L1207: titallem -> titgħallem | actual #1: titħallem | choices: ['titħallem', 'titgħallem']
L1228: tqatta -> tqatta' | actual #1: t'qatta | choices: ["t'qatta", "tqatta'", "t'qatta'", "tqata'"]
L1268: wegga -> weġġa' | actual #1: weġġaħ | choices: ['weġġaħ', "weġġa'", "weġa'"]
L1300: xtrajta -> xtrajtha | actual #1: xtrajta | choices: ['xtrajtha']

CATEGORY 2 TOTAL: 161
CATEGORY 2 PRIMARY PASSES: 75 / 161
CATEGORY 2 COVERAGE: 83 / 161

CATEGORY 2 FAILURES:
L5: aghtihili -> agħtihieli | actual #1: agħtihili | [SUGGESTED] | choices: ['agħtihili', 'agħtihieli', 'agħtuhili', 'agħtiehieli', 'agħtihielie']
L21: amiltlu -> għamiltlu | actual #1: amilthlu | [SUGGESTED] | choices: ['amilthlu', 'għamiltlu']
L31: atijulu -> agħtihulu | actual #1: atijulu | [MISSING] | choices: []
L39: bagatulu -> bagħathulu | actual #1: bagatulu | [MISSING] | choices: []
L44: baghatiela -> bagħathielha | actual #1: bagħtielha | [MISSING] | choices: ['bagħtielha']
L45: baghatilna -> bagħtilna | actual #1: baghatilhna | [MISSING] | choices: ['baghatilhna']
L47: baghthomlha -> bgħatthomlha | actual #1: bagħathomlha | [MISSING] | choices: ['bagħathomlha', 'bagħtuhomlha', 'bagħathomlhi', 'ibagħtuhomlha']
L53: baghtitilhom -> bagħtitilhom | actual #1: bagħtithilhom | [MISSING] | choices: ['bagħtithilhom', 'bagħttilhom', 'bagħtielhom', 'bagħtilhom', 'bagħtithielhom']
L54: baghtitilna -> bagħtitilna | actual #1: baghtitilhna | [MISSING] | choices: ['baghtitilhna']
L56: baghtli -> bagħatli | actual #1: bagħtuli | [MISSING] | choices: ['bagħtuli', 'bagħtulie']
L61: baghtulu -> bagħthulu | actual #1: bagħtulu | [MISSING] | choices: ['bagħtulu', "b'agħtulu"]
L68: battomlom -> bgħatthomlhom | actual #1: battomlhom | [MISSING] | choices: ['battomlhom', 'battomlhhom']
L74: bghattilom -> bgħattilhom | actual #1: bghattilhom | [MISSING] | choices: ['bghattilhom', 'bghattilhhom']
L80: bhalom -> bħalhom | actual #1: bhalhom | [SUGGESTED] | choices: ['bhalhom', 'bħalhom', 'bhalhhom']
L96: cempiltila -> ċempiltilha | actual #1: ċempiltlha | [MISSING] | choices: ['ċempiltlha']
L97: cempiltilha -> ċempiltilha | actual #1: ċempiltlha | [MISSING] | choices: ['ċempiltlha', 'ċempieltlha', 'ċċempiltlha']
L98: cempiltli -> ċemplitli | actual #1: ċempiltli | [MISSING] | choices: ['ċempiltli']
L147: etlu -> għedtlu | actual #1: ietluh | [MISSING] | choices: ['ietluh', 'itluh', 'ietlgħu', 'itlgħu']
L149: ettlu -> għedtlu | actual #1: etthlu | [MISSING] | choices: ['etthlu']
L175: ftahtilha -> ftaħtilha | actual #1: ftihmilha | [MISSING] | choices: ['ftihmilha', 'fetftilha', 'ftehimlha', 'ftiehmilha', 'ftihmulha']
L176: ftahtilom -> ftaħtilhom | actual #1: ftahtilhom | [MISSING] | choices: ['ftahtilhom', 'ftahtilhhom']
L178: ftahtom -> ftaħthom | actual #1: ftahthom | [MISSING] | choices: ['ftahthom', 'ftahthhom']
L212: ghadom -> għadhom | actual #1: ghadhom | [SUGGESTED] | choices: ['ghadhom', 'għadhom']
L242: ghamilhieli -> agħmilhieli | actual #1: għamilhieli | [MISSING] | choices: ['għamilhieli']
L249: ghamilthulu -> għamilthielu | actual #1: għamilthulu | [MISSING] | choices: ['għamilthulu', 'għamiltulu']
L252: ghamiltilha -> għamiltilha | actual #1: għamiltlha | [MISSING] | choices: ['għamiltlha', 'għamieltlha']
L253: ghamiltilom -> għamiltilhom | actual #1: ghamiltilhom | [MISSING] | choices: ['ghamiltilhom', 'ghamiltilhhom']
L266: ghandom -> għandhom | actual #1: ghandhom | [SUGGESTED] | choices: ['ghandhom', 'għandhom']
L282: ghednilha -> għednielha | actual #1: għaddilha | [MISSING] | choices: ['għaddilha']
L283: ghedtilom -> għedtilhom | actual #1: ghedtilhom | [MISSING] | choices: ['ghedtilhom', 'ghedtilhhom']
L293: ghidnilhom -> għednielhom | actual #1: għidnilhom | [MISSING] | choices: ['għidnilhom', 'għidnielhom', 'għidunilhom', 'għaddnilhom', 'għoddnilhom']
L296: ghidtilha -> għedtilha | actual #1: għaddilha | [MISSING] | choices: ['għaddilha', 'għattilha']
L298: ghidtlu -> għedtlu | actual #1: ghidthlu | [SUGGESTED] | choices: ['ghidthlu', 'għedtlu']
L312: gibieli -> ġibhieli | actual #1: gelbielli | [MISSING] | choices: ['gelbielli', 'gelbilli', 'gerbielli', 'gerbilli']
L317: gibulha -> ġibhulha | actual #1: ġibulha | [MISSING] | choices: ['ġibulha']
L376: halejtilha -> ħallejtilha | actual #1: halejtilha | [MISSING] | choices: []
L378: hallejtilom -> ħallejtilhom | actual #1: hallejtilhom | [MISSING] | choices: ['hallejtilhom', 'hallejtilhhom']
L387: hallihomla -> ħallihomlha | actual #1: hallihomla | [MISSING] | choices: []
L412: hattom -> ħadthom | actual #1: hatthom | [MISSING] | choices: ['hatthom', 'hatthhom']
L455: ibiddilhieli -> jibdilhieli | actual #1: biddilhieli | [MISSING] | choices: ['biddilhieli', 'jbiddilhieli']
L463: icemplilha -> iċemplilha | actual #1: ċemplilha | [MISSING] | choices: ['ċemplilha', 'ċċemplilha', 'ċempilha', 'ċemplielha', 'ċemplulha']
L475: iftahieli -> iftaħhieli | actual #1: ffittahieli | [MISSING] | choices: ['ffittahieli', 'fiithieli', 'fittuhieli', 'futhieli', 'futuhieli']
L478: igibuhieli -> iġibuhieli | actual #1: ġibuhieli | [MISSING] | choices: ['ġibuhieli', 'ġibuhielie', 'ġibuhili', 'ġiebuhieli', 'ogħġbuhieli']
L484: ijskom -> qiskom | actual #1: ijskhom | [MISSING] | choices: ['ijskhom']
