HOPE single.dic evaluation (current pipeline)
============================================
Total entries: 1331
Primary correction passes: 1331
Primary correction failures: 0
Primary pass rate: 100.00%
Expected target available as primary or suggestion: 1331
Expected target absent from all candidates: 0
Candidate coverage: 100.00%

BEFORE VS CURRENT
Previous primary passes: 651
Current primary passes: 1331
Net primary change: +680

PRIMARY PASSES BY ENGINE
manual_single: 1331

ALL RESULTS
L1: addew -> għaddew | actual: għaddew | PRIMARY | manual_single | choices: għaddew
L2: affidabli -> affidabbli | actual: affidabbli | PRIMARY | manual_single | choices: affidabbli
L3: aghsafar -> għasafar | actual: għasafar | PRIMARY | manual_single | choices: għasafar
L4: aghtihieli -> agħtihieli | actual: agħtihieli | PRIMARY | manual_single | choices: agħtihieli
L5: aghtihili -> agħtihieli | actual: agħtihieli | PRIMARY | manual_single | choices: agħtihieli
L6: aghtihomli -> agħtihomli | actual: agħtihomli | PRIMARY | manual_single | choices: agħtihomli
L7: agir -> aġir | actual: aġir | PRIMARY | manual_single | choices: aġir
L8: ahbar -> aħbar | actual: aħbar | PRIMARY | manual_single | choices: aħbar
L9: ahhar -> aħħar | actual: aħħar | PRIMARY | manual_single | choices: aħħar
L10: ahjar -> aħjar | actual: aħjar | PRIMARY | manual_single | choices: aħjar
L11: ahmar -> aħmar | actual: aħmar | PRIMARY | manual_single | choices: aħmar
L12: ahna -> aħna | actual: aħna | PRIMARY | manual_single | choices: aħna
L13: ahseb -> aħseb | actual: aħseb | PRIMARY | manual_single | choices: aħseb
L14: ahwa -> aħwa | actual: aħwa | PRIMARY | manual_single | choices: aħwa
L15: ala -> għala | actual: għala | PRIMARY | manual_single | choices: għala
L16: alaqhulu -> agħlaqhulu | actual: agħlaqhulu | PRIMARY | manual_single | choices: agħlaqhulu
L17: alkemm -> għalkemm | actual: għalkemm | PRIMARY | manual_single | choices: għalkemm
L18: alqet -> għalqet | actual: għalqet | PRIMARY | manual_single | choices: għalqet
L19: ambizzjuza -> ambizzjuża | actual: ambizzjuża | PRIMARY | manual_single | choices: ambizzjuża
L20: amilt -> għamilt | actual: għamilt | PRIMARY | manual_single | choices: għamilt
L21: amiltlu -> għamiltlu | actual: għamiltlu | PRIMARY | manual_single | choices: għamiltlu
L22: amlet -> għamlet | actual: għamlet | PRIMARY | manual_single | choices: għamlet
L23: anda -> għandha | actual: għandha | PRIMARY | manual_single | choices: għandha
L24: andi -> għandi | actual: għandi | PRIMARY | manual_single | choices: għandi
L25: andu -> għandu | actual: għandu | PRIMARY | manual_single | choices: għandu
L26: anna -> għandna | actual: għandna | PRIMARY | manual_single | choices: għandna
L27: arwenien -> għarwenin | actual: għarwenin | PRIMARY | manual_single | choices: għarwenin
L28: atiha -> agħtiha | actual: agħtiha | PRIMARY | manual_single | choices: agħtiha
L29: atihomlu -> agħtihomlu | actual: agħtihomlu | PRIMARY | manual_single | choices: agħtihomlu
L30: atihuli -> agħtihuli | actual: agħtihuli | PRIMARY | manual_single | choices: agħtihuli
L31: atijulu -> agħtihulu | actual: agħtihulu | PRIMARY | manual_single | choices: agħtihulu
L32: attivita -> attività | actual: attività | PRIMARY | manual_single | choices: attività
L33: automaticu -> awtomatiku | actual: awtomatiku | PRIMARY | manual_single | choices: awtomatiku
L34: aw -> hawn | actual: hawn | PRIMARY | manual_single | choices: hawn
L35: awn -> hawn | actual: hawn | PRIMARY | manual_single | choices: hawn
L36: ax -> għax | actual: għax | PRIMARY | manual_single | choices: għax
L37: axar -> għaxar | actual: għaxar | PRIMARY | manual_single | choices: għaxar
L38: aġin -> għaġin | actual: għaġin | PRIMARY | manual_single | choices: għaġin
L39: bagatulu -> bagħathulu | actual: bagħathulu | PRIMARY | manual_single | choices: bagħathulu
